Start range,End range,CA_SAR(A),CA_UAE(A),CA_EGY(A),CA_QAT(A),CA_SAR(I),CA_UAE(I),CA_EGY(I),CA_QAT(I),All_Countries(A),All_Countries(I),Change(A),Change(I),New_downloads(A),New_downloads(I),Change_in_new_downloads(A),Change_in_new_downloads(I),Conversion_rate(A),Conversion_rate(I),Crash_reports(A),Crash_reports(I),Change_in_crash_reports(A),Change_in_crash_reports(I)
20/11/2023,26/11/2023,4487,2325,743,521,1339,553,108,194,9387,2586,0.07%,2.50%,236,459,-15.25%,-7.00%,70.60%,43.23%,0.22%,0.06%,-0.04%,-13%
27/11/2023,3/12/2023,4454,2385,761,507,1414,588,111,188,9447,2723,0.64%,-5.03%,228,479,-3.51%,4.00%,69.71%,43.77%,0.20%,0.06%,-10%,0%
4/12/2023,10/12/2023,4176,2158,688,489,1406,566,107,189,8642,2677,-9.31%,-1.72%,148,370,-54.05%,-23.00%,72.80%,33.85%,0.20%,0.11%,0%,83.33%
11/12/2023,17/12/2023,4497,2325,755,508,1311,532,107,181,9361,2488,7.68%,-7.60%,157,285,6.08%,-23.00%,4%,37.25%,0.23%,0.02%,-0.03%,-450%
18/12/2023,24/12/2023,4467,2307,749,500,1274,513,105,163,9283,2399,0.84%,-3.71%,189,283,20.38%,-1.00%,66.30%,45.85%,0.26%,0.02%,13.04%,-50%
25/12/2023,31/12/2023,4388,2265,787,480,1201,467,97,159,9185,2234,-0.99%,-7.39%,151,365,-25.17%,29.00%,55.24%,44.99%,0.25%,0.00%,0.05%,0%
1/1/2024,7/1/2024,,,,,,,,,,,,,,,,,,,,,,
8/1/2024,14/1/2024,4374,2219,731,502,1128,454,100,155,9075,2116,-5.58%,-0.19%,172,338,-5.81%,2.00%,58.50%,51.34%,0.24%,0.18%,0.01%,18%
15/1/2024,21/1/2024,,,,,,,,,,,,,,,,,,,,,,
22/1/2024,28/1/2024,4403,2329,746,491,1122,445,96,153,9232,2097,1.78%,-1.91%,173,313,0.58%,14.00%,68.32%,49.63%,0.36%,0.00%,0.11%,0%
29/1/2024,4/2/2024,4512,2343,750,503,1120,441,91,155,9422,2081,2.01%,-0.77%,238,315,37.58%,1.00%,71.88%,18.69%,0.27%,0.06%,-0.04%,0.60%
5/2/2024,11/2/2024,4576,2368,736,507,1149,441,85,151,9505,2087,0.88%,0.29%,192,311,-23.96%,-1.00%,64.24%,36.95%,0.28%,0.09%,0.04%,0.03%
12/2/2024,18/2/2024,4614,2424,752,515,1151,422,74,145,9596,2047,0.95%,-1.95%,144,297,-33.33%,-5.00%,71.93%,35.67%,0.28%,0.02%,0.00%,-350%
19/2/2024,25/2/2024,4598,2366,794,500,1185,412,81,149,9535,2078,-0.64%,1.51%,212,326,47.22%,10.00%,71.52%,48.29%,0.16%,0.00%,-75%,-100%
26/2/2024,3/3/2024,,,,,,,,,,,,,,,,,,,,,,
4/3/2024,10/3/2024,4571,2392,777,517,1121,395,91,159,9539,2104,0.87%,0.43%,145,249,-26.90%,-26.00%,70%,35.86%,0.07%,0.03%,-0.21%,30%
11/3/2024,17/3/2024,4540,2394,798,519,1199,406,93,169,9446,2114,-0.98%,0.48%,166,314,14.48%,26.00%,69.23%,35.65%,0.05%,0.00%,-0.23%,-30%
18/3/2024,24/3/2024,,,,,,,,,,,,,,,,,,,,,,
25/3/2024,31/3/2024,4445,2323,771,495,1198,432,94,171,9239,2151,-0.74%,0.51%,177,329,13.46%,5.00%,71.43%,20.86%,0.18%,0.06%,0.04%,-1%
1/4/2024,7/4/2024,4405,2267,847,505,1177,433,92,167,9281,1973,0.45%,-9.02%,190,295,7%,-10.00%,73.48%,21.03%,0.23%,0.16%,0.16%,0.16%
8/4/2024,14/4/2024,4397,2256,802,518,1146,423,90,161,9217,2090,-0.72%,5.93%,189,495,-0.53%,0.68%,65.75%,38.21%,0.37%,0.03%,0.32%,-0.13%
15/4/2024,21/4/2024,4421,2240,802,518,1152,415,95,167,9241,2113,0.20%,1.10%,326,369,72%,-25.00%,41.41%,45.11%,0.46%,0.03%,0.37%,0.00%
22/4/2024,28/4/2024,4533,2332,816,516,1188,431,100,175,9483,2192,2.60%,4%,716,655,120%,77.00%,5.64%,21.84%,0.43%,0.00%,0.25%,-0.30%
29/4/2024,5/5/2024,4608,2320,819,531,1274,466,110,195,9564,2365,0.85%,7.89%,441,802,-62.36%,22.00%,7.74%,39.78%,0.32%,0.05%,0.32%,0.05%
6/5/2024,12/5/2024,,,,,,,,,,,,,,,,,,,,,,
13/5/2024,19/5/2024,,,,,,,,,,,,,,,,,,,,,,
20/5/2024,26/5/2024,4507,2294,844,535,1485,486,129,209,9510,2629,-0.33%,1.80%,189,437,-15.34%,-7.00%,59.33%,39.78%,0.18%,0.11%,-0.25%,0.40%
27/5/2024,2/6/2024,4556,1476,858,527,1476,490,133,212,9547,2660,0.45%,1.20%,253,636,34%,46.00%,60.47%,42.56%,0.24%,0.03%,33%,-5%
3/6/2024,9/6/2024,4491,2293,872,544,1483,499,138,204,9507,2673,-4%,0.90%,214,523,-19%,-18.00%,45.45%,42.47%,0.20%,0.10%,-0.14%,0.23%
10/6/2024,16/6/2024,4425,2268,966,526,1455,497,133,212,9593,2336,0.90%,-1.40%,225,423,5%,-19.00%,58.64%,44.20%,0.25%,0.10%,0.20%,0%
17/6/2024,23/6/2024,4448,2273,923,530,1431,491,134,202,9545,2594,-0.50%,-1.60%,177,495,-27%,17.00%,61.54%,40.92%,0.21%,0.05%,0.03%,-100%
24/6/2024,30/6/2024,4441,2325,947,548,1395,483,140,187,9557,2549,0.10%,-2%,196,493,9.60%,-1.00%,54.30%,40.75%,0.32%,0.09%,0.08%,90%
1/7/2024,7/7/2024,4359,2302,965,541,1387,485,150,192,9556,2572,0.01%,0.90%,211,542,8%,10.00%,54.30%,39.09%,0.73%,0.06%,128%,-50%
8/7/2024,14/7/2024,4420,2306,929,518,1390,486,151,183,9562,2569,-0.06%,0.10%,240,414,-14%,-24.00%,61.17%,45.56%,0.73%,0.04%,128%,-50%
15/7/2024,21/7/2024,4441,2278,961,520,1421,502,153,186,9569,2627,0.07%,2%,215,439,12%,6.00%,55.28%,13.60%,0.90%,0.73%,0.69%,17.25%
22/7/2024,28/7/2024,4420,2334,946,524,1445,512,145,200,9611,2669,0.40%,1.60%,251,566,17%,29.00%,56.25%,24.08%,0.92%,0.24%,2%,-67%
29/7/2024,4/8/2024,4510,2330,919,507,1468,536,137,208,9693,2711,0.80%,1.60%,305,722,20%,28.00%,52.09%,31.93%,0.50%,0.02%,-0.16%,-1100%
5/8/2024,11/8/2024,4515,2338,928,518,1511,570,142,214,9677,2825,0.20%,4%,272,589,-12%,-18.00%,63.50%,43.17%,0.36%,0.04%,-0.39%,0.10%
12/8/2024,18/8/2024,4544,2342,935,520,1553,594,141,210,9710,2902,0.30%,3%,282,531,4%,-10.00%,57.55%,26.34%,0.27%,0.03%,-25%,-25%
19/8/2024,25/8/2024,4563,2341,951,504,1567,597,132,201,9761,2900,0.50%,-0.07%,211,461,34%,-13.00%,59.22%,43.12%,0.20%,0.04%,-25%,33%
26/8/2024,1/9/2024,4521,2367,941,529,1603,614,204,204,9761,2972,0.00%,2.48%,283,640,34%,39.00%,62.79%,40.88%,0.14%,0.04%,-36%,0.00%
2/9/2024,8/9/2024,,,,,,,,,,,,,,,,,,,,,,
9/9/2024,15/9/2024,,,,,,,,,,,,,,,,,,,,,,
16/9/2024,22/9/2024,4558,2468,975,546,1650,634,156,211,9989,3091,10.99%,2.35%,276,530,-18.48%,-9.00%,58.95%,14.51%,0.14%,0.06%,-0.06%,50%
23/9/2024,29/9/2024,,,,,,,,,,,,,,,,,,,,,,
30/9/2024,6/10/2024,4728,2479,1011,520,1662,628,180,200,10204,3119,10.99%,-0.57%,281%,592,-34.52%,-9.00%,63.56%,14.51%,0.14%,0.02%,0%,20%
7/10/2024,13/10/2024,4631,2457,1023,536,1660,624,179,207,10151,3122,-0.52%,0.10%,294,500,4.63%,-16.00%,56.66%,41%,0.15%,0.21%,7.14%,950%
14/10/2024,20/10/2024,,,,,,,,,,,,,,,,,,,,,,
21/10/2024,27/10/2024,4850,2501,1096,558,1667,625,179,237,10558,3179,2.62%,1.83%,417,823,17.03%,-16.00%,47.20%,25.28%,1.65%,0.02%,1.51%,0.00%
28/10/2024,3/11/2024,,,,,,,,,,,,,,,,,,,,,,
4/11/2024,10/11/2024,4847,2492,1124,569,1625,595,174,265,10698,3156,0.32%,0.85%,302,530,-20.20%,-26.00%,58.24%,39.87%,1.64%,1.55%,-0.61%,1.05%
11/11/2024,17/11/2024,4957,2558,1010,609,1644,622,166,271,10688,3218,-0.09%,1.96%,380,718,25.83%,35.00%,51.15%,42.73%,0.73%,0.03%,-0.54%,1.33%
18/11/2024,24/11/2024,4902,2517,1147,597,1654,628,167,258,10816,3231,1.20%,0.40%,482,742,11.21%,3.00%,51.15%,10.81%,0.73%,0.46%,-0.54%,0.43%
25/11/2024,1/12/2024,,,,,,,,,,,,,,,,,,,,,,
2/12/2024,8/12/2024,,,,,,,,,,,,,,,,,,,,,,
9/12/2024,15/12/2024,,,,,,,,,,,,,,,,,,,,,,
16/12/2024,22/12/2024,,,,,,,,,,,,,,,,,,,,,,
23/12/2024,29/12/2024,4864,2530,1263,596,1604,576,184,233,10993,3090,0.18%,-8.35%,237,399,0.42%,-5.00%,57.62%,35.24%,0.31%,0.14%,-0.03%,-36.36%
30/12/2024,5/1/2025,,,,,,,,,,,,,,,,,,,,,,
6/1/2025,12/1/2025,,,,,,,,,,,,,,,,,,,,,,
13/1/2025,19/1/2025,4809,2498,1279,596,1390,508,180,188,10872,2705,0.13%,-2.22,222,415,-24.78%,-3.00%,55.56%,28.16%,0.22%,0.31%,-0.10%,-63.16%
